src_ip,dst_ip,protocol,length,src_port,dst_port,label
0.0.0.0,0.0.0.0,0,42,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,1,74,0,0,benign
192.168.123.129,192.168.123.1,1,74,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,1,74,0,0,benign
192.168.123.129,192.168.123.1,1,74,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,1,74,0,0,benign
192.168.123.129,192.168.123.1,1,74,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.129,139.84.150.88,17,90,123,123,benign
139.84.150.88,192.168.123.129,17,90,123,123,benign
192.168.123.1,192.168.123.129,1,74,0,0,benign
192.168.123.129,192.168.123.1,1,74,0,0,benign
0.0.0.0,0.0.0.0,0,42,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.1,192.168.123.129,6,60,51675,80,benign
192.168.123.129,192.168.123.1,6,54,80,51675,benign
192.168.123.129,15.207.248.194,17,90,123,123,benign
15.207.248.194,192.168.123.129,17,90,123,123,benign
192.168.123.129,160.250.111.68,17,90,123,123,benign
160.250.111.68,192.168.123.129,17,90,123,123,benign
192.168.123.129,192.46.210.39,17,90,123,123,benign
192.46.210.39,192.168.123.129,17,90,123,123,benign
192.168.123.129,14.139.60.107,17,90,123,123,benign
14.139.60.107,192.168.123.129,17,90,123,123,benign
192.168.123.129,162.159.200.123,17,90,123,123,benign
162.159.200.123,192.168.123.129,17,90,123,123,benign
0.0.0.0,0.0.0.0,0,42,0,0,benign
0.0.0.0,0.0.0.0,0,60,0,0,benign
192.168.123.129,172.105.60.167,17,90,123,123,benign
172.105.60.167,192.168.123.129,17,90,123,123,benign
192.168.123.129,162.159.200.1,17,90,123,123,benign
162.159.200.1,192.168.123.129,17,90,123,123,benign
192.168.123.129,139.59.15.185,17,90,123,123,benign
139.59.15.185,192.168.123.129,17,90,123,123,benign
